split,season_phase,feature_group,relative_feature,phase_feature,N,phase_weight,raw_mean,raw_mean_abs,raw_median_abs,raw_std,phase_mean,phase_mean_abs,phase_median_abs,phase_std,mean_abs_attenuation
train,Early,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,2095,1.0,8.671073985680191,103.99236276849642,85.0,133.58056421375636,8.671073985680191,103.99236276849642,85.0,133.58056421375636,1.0
train,Early,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,2095,1.0,6.923436754176611,55.319188544152745,39.75,72.86808213876853,6.923436754176611,55.319188544152745,39.75,72.86808213876853,1.0
train,Early,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,2095,1.0,3.1529594272076373,48.57840095465394,39.999999999999986,62.21617006763734,3.1529594272076373,48.57840095465394,39.999999999999986,62.21617006763734,1.0
train,Early,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,2095,1.0,4.142076372315036,36.59582338902148,28.199999999999996,48.41705144684058,4.142076372315036,36.59582338902148,28.199999999999996,48.41705144684058,1.0
train,Early,Total Usage,returning_usage_diff,returning_usage_diff_phase,2095,1.0,-0.013184248210023867,0.21088257756563245,0.1865,0.2585816036385831,-0.013184248210023867,0.21088257756563245,0.1865,0.2585816036385831,1.0
train,Early,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,2095,1.0,-0.07184367541766111,0.39426658711217183,0.32,0.5000988395878033,-0.07184367541766111,0.39426658711217183,0.32,0.5000988395878033,1.0
train,Early,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,2095,1.0,-0.006089498806682577,0.19154295942720762,0.15900000000000003,0.24212182227913637,-0.006089498806682577,0.19154295942720762,0.15900000000000003,0.24212182227913637,1.0
train,Early,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,2095,1.0,-0.016820763723150355,0.2461042959427208,0.21749999999999992,0.302890339493898,-0.016820763723150355,0.2461042959427208,0.21749999999999992,0.302890339493898,1.0
train,Mid,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,1551,0.67,3.187975499677626,112.8833978078659,90.20000000000002,143.59361816002078,2.1359435847840103,75.63187653127015,60.43400000000001,96.20772416721394,0.6699999999999999
train,Mid,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,1551,0.67,0.850354609929078,60.51598968407478,46.3,79.37908141319855,0.5697375886524819,40.54571308833012,31.021,53.18398454684303,0.6700000000000003
train,Mid,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,1551,0.67,2.1557704706640877,53.394326241134756,45.900000000000006,67.07829753766231,1.4443662153449384,35.774198581560285,30.753000000000007,44.94245935023375,0.6699999999999999
train,Mid,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,1551,0.67,0.3119922630560927,40.98420373952289,32.400000000000006,53.24405862322565,0.20903481624758224,27.459416505480334,21.708000000000006,35.673519277561184,0.6699999999999999
train,Mid,Total Usage,returning_usage_diff,returning_usage_diff_phase,1551,0.67,-0.0055651192778852325,0.22852385557704705,0.19900000000000007,0.2829737796162256,-0.0037286299161831075,0.15311098323662156,0.13333000000000006,0.18959243234287118,0.6700000000000002
train,Mid,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,1551,0.67,-0.011468729851708577,0.41847646679561573,0.36099999999999993,0.5402825722642872,-0.007684049000644746,0.28037923275306254,0.24186999999999997,0.36198932341707246,0.67
train,Mid,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,1551,0.67,0.0015554480980012884,0.2229107027724049,0.19099999999999995,0.2750874461922193,0.0010421502256608636,0.1493501708575113,0.12796999999999997,0.18430858894878693,0.67
train,Mid,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,1551,0.67,-0.0028349451966473245,0.26951773049645383,0.235,0.33057955291253543,-0.0018994132817537084,0.18057687943262413,0.15745,0.22148830045139878,0.6700000000000003
train,Late,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,2786,0.33,2.5663675520459437,116.21841349605168,97.75,146.44250818727258,0.8469012921751615,38.35207645369705,32.2575,48.32602770179996,0.32999999999999996
train,Late,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,2786,0.33,1.7641421392677679,62.490344580043065,51.95,80.57554745952429,0.5821669059583634,20.621813711414216,17.143500000000003,26.589930661643017,0.33000000000000007
train,Late,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,2786,0.33,-0.001812634601579309,54.135516870064606,45.650000000000006,67.97796393754219,-0.0005981694185212739,17.86472056712132,15.064500000000002,22.432728099388925,0.33
train,Late,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,2786,0.33,0.8669956927494616,40.720979899497486,31.85,53.25507014830156,0.2861085786073224,13.43792336683417,10.5105,17.574173148939515,0.32999999999999996
train,Late,Total Usage,returning_usage_diff,returning_usage_diff_phase,2786,0.33,0.0008007896625987078,0.23044328786791093,0.20099999999999998,0.28525884521774203,0.00026426058865757374,0.07604628499641063,0.06633,0.09413541892185487,0.33000000000000007
train,Late,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,2786,0.33,0.006704594400574301,0.4316012203876526,0.3835,0.5512291463362813,0.0022125161521895182,0.14242840272792534,0.126555,0.1819056182909728,0.32999999999999996
train,Late,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,2786,0.33,-0.0026868269921033728,0.21484152907394113,0.182,0.26661994852277554,-0.0008866529073941135,0.07089770459440058,0.06006,0.08798458301251592,0.33
train,Late,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,2786,0.33,-0.0011471643933955483,0.2713790380473798,0.23750000000000002,0.33242846379533764,-0.00037856424982053087,0.08955508255563532,0.078375,0.1097013930524614,0.32999999999999996
validation,Early,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,522,1.0,18.814176245210728,119.11800766283524,86.7,157.45885825932348,18.814176245210728,119.11800766283524,86.7,157.45885825932348,1.0
validation,Early,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,522,1.0,11.10689655172414,56.52873563218391,36.6,76.0773035377483,11.10689655172414,56.52873563218391,36.6,76.0773035377483,1.0
validation,Early,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,522,1.0,7.984291187739462,56.72490421455939,45.85,72.7530613056459,7.984291187739462,56.72490421455939,45.85,72.7530613056459,1.0
validation,Early,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,522,1.0,3.697701149425287,34.854789272030644,28.149999999999995,45.914605231798504,3.697701149425287,34.854789272030644,28.149999999999995,45.914605231798504,1.0
validation,Early,Total Usage,returning_usage_diff,returning_usage_diff_phase,522,1.0,0.009160919540229878,0.23519157088122605,0.20450000000000002,0.2861504995840557,0.009160919540229878,0.23519157088122605,0.20450000000000002,0.2861504995840557,1.0
validation,Early,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,522,1.0,0.004337164750957862,0.4085670498084291,0.373,0.5049510697471379,0.004337164750957862,0.4085670498084291,0.373,0.5049510697471379,1.0
validation,Early,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,522,1.0,0.014678160919540224,0.18559386973180075,0.15799999999999997,0.23599102886033907,0.014678160919540224,0.18559386973180075,0.15799999999999997,0.23599102886033907,1.0
