feature,phase,n,home_wins_n,home_losses_n,home_win_mean,home_loss_mean,home_win_median,home_loss_median,home_win_std,home_loss_std,standardized_difference,pearson_correlation,spearman_correlation
total_ppa,Early,2881,2114,767,31.99787133396405,-46.60449804432856,21.850000000000023,-46.94999999999999,129.23678063433567,140.7104490061282,0.5937333804737068,0.2539089964043606,0.2421336108963385
total_ppa,Mid,2177,1294,883,22.69599111282844,-27.49746772366931,19.832000000000008,-22.914000000000005,97.3990693917051,92.45609330686558,0.5259964271026146,0.2501711625890217,0.23625417606400692
total_ppa,Late,4003,2290,1713,12.99565938864629,-14.761701401050788,11.665500000000003,-13.892999999999999,47.142208196569214,47.85024454892829,0.5850248403568,0.2781080401226509,0.27748890748445554
passing_ppa,Early,2881,2114,767,17.203429517502368,-17.124641460234685,6.350000000000001,-13.100000000000001,69.22237741914763,75.11442715056265,0.48460028289865337,0.2095051755816756,0.19280768040086876
passing_ppa,Mid,2177,1294,883,9.084713292117465,-11.201292185730466,5.728500000000003,-7.236000000000001,52.93219919212937,50.17916674252993,0.39136918729645437,0.18879650131401693,0.18150039961937522
passing_ppa,Late,4003,2290,1713,5.360713100436683,-5.563678633975481,4.2075,-3.993,25.657006765700256,25.991146518390504,0.4234176250195517,0.20509566388728673,0.2050108511739642
receiving_ppa,Early,2881,2114,767,11.928571428571429,-16.538526727509776,7.25,-15.200000000000017,60.95980315117389,67.6584234983416,0.45321216741666837,0.19647651634503963,0.1839253715948242
receiving_ppa,Mid,2177,1294,883,8.066354714064916,-9.23537712344281,7.939499999999999,-7.838999999999992,45.63738104376908,44.23536690818341,0.3838508813583035,0.1852953722378794,0.18059978035116767
receiving_ppa,Late,4003,2290,1713,4.6964403930131,-5.773901926444833,4.191000000000001,-5.907000000000002,22.392611833624354,22.589401956713864,0.4658241468802853,0.22464499761637086,0.22257050161222966
rushing_ppa,Early,2881,2114,767,9.648486281929989,-11.689048239895698,4.600000000000001,-10.6,45.403713747150434,47.459934291263934,0.46426533310520307,0.20107675922716486,0.18150616863058458
rushing_ppa,Mid,2177,1294,883,5.890744590417312,-7.105224801812005,5.427,-4.221,34.767190055833545,32.639853769316176,0.3831290695070719,0.18495886466127257,0.17473462014597718
rushing_ppa,Late,4003,2290,1713,3.0061270742358084,-3.431267950963223,2.7059999999999995,-2.937,16.359942504259966,17.00758319138791,0.3868592178215049,0.1880420498398464,0.18576467792598658
usage,Early,2881,2114,767,0.005016556291390724,-0.03679530638852673,0.0,-0.045999999999999985,0.2574545870113411,0.2831582775314881,0.15805653312275972,0.06971276104805599,0.06591305529516431
usage,Mid,2177,1294,883,0.012034370170015456,-0.017703782559456403,0.009715000000000008,-0.016080000000000014,0.19619357719184272,0.19279492008598015,0.15264228329071394,0.07477320816560093,0.07331844256310627
usage,Late,4003,2290,1713,0.011345731441048034,-0.013879168126094573,0.01089000000000001,-0.01188000000000001,0.09599679166117882,0.09725522473063489,0.2612969937138986,0.1282485594774511,0.12074758157851107
passing_usage,Early,2881,2114,767,-0.0417008041627247,-0.0693181225554107,0.0,-0.02400000000000002,0.48879874461254524,0.5301435742993431,0.05521995226803106,0.024407558524931507,0.0412657284291218
passing_usage,Mid,2177,1294,883,0.014952546367851625,-0.022709054360135896,0.0013400000000000013,-0.004690000000000001,0.3621801377250238,0.36242733097706054,0.10395704767112744,0.0510008046850759,0.05383328111516016
passing_usage,Late,4003,2290,1713,0.015342262008733626,-0.015247040280210159,0.0026400000000000026,-0.0032999999999999995,0.18032190531183875,0.18375948047805102,0.16825727032220442,0.0829836779427536,0.08379417214776484
receiving_usage,Early,2881,2114,767,0.007767975402081361,-0.021294654498044328,0.009749999999999981,-0.01100000000000001,0.2325512893897722,0.2613197847582807,0.12082156656081314,0.05334373115818694,0.0523778685001862
receiving_usage,Mid,2177,1294,883,0.01031095826893354,-0.015225237825594568,0.007537499999999989,-0.014740000000000014,0.18118204116578177,0.177078176014536,0.14223982303578844,0.06970312694263923,0.06888383866147542
receiving_usage,Late,4003,2290,1713,0.009668495633187774,-0.013176690017513135,0.010065000000000001,-0.01221000000000001,0.08765449224944653,0.08575705854399522,0.26304892487994763,0.129094150940697,0.12220802082228738
rushing_usage,Early,2881,2114,767,0.0004252601702932858,-0.027612777053455016,0.006000000000000005,-0.03300000000000003,0.29795789562950586,0.3264495390711578,0.09168815517086377,0.04050553573958234,0.04165469431405658
rushing_usage,Mid,2177,1294,883,0.010742005409582691,-0.013459563986409967,0.009044999999999971,-0.011390000000000011,0.22453844185920746,0.22354123313449195,0.10797784158969359,0.05296795443686604,0.04629321838576254
rushing_usage,Late,4003,2290,1713,0.008308938864628822,-0.011532565674255693,0.008580000000000008,-0.00973499999999999,0.10980013190059136,0.11070297816666962,0.18007060626669424,0.08876554611368531,0.08226546344554783
