dataset,n_games,log_loss,brier_score,roc_auc,accuracy
Validation,1741,0.5193286971502511,0.17360603430971688,0.8000827826364488,0.746122917863297
Test,888,0.5015710014339535,0.16659701094541896,0.8124684894318404,0.759009009009009
