winPctDiff,pointDifferentialAvgDiff,pointsForAvgDiff,pointsAgainstAvgDiff,yardsPerPassAttemptDiff,yardsPerRushAttemptDiff,pointsForTrendDiff,pointsAgainstTrendDiff,pointDifferentialTrendDiff,totalYardsTrendDiff,netPassingYardsTrendDiff,winPctTrendDiff,priorSOSWinPctDiff,priorSOSPointDiffDiff,turnoversAvgDiff,thirdDownPctDiff,sacksAvgDiff,completionPctDiff,totalYardsAvgDiff,possessionSecondsAvgDiff,penaltyYardsAvgDiff,bootstrap_iteration
0.2550440527100102,0.3253700020369601,0.25603479211266306,0.2947516812477293,0.035043919153404074,0.02526979496582043,0.0963410489486015,0.019073704542701495,0.07588035578909402,-0.08048783737463819,0.048834954875518484,0.019199074663182474,0.056085561214175954,0.12701185227719683,-0.04707650868725452,0.0355713823743594,0.06933444022291414,0.09543653795067727,-0.06869523629694366,-0.04087084841307961,0.00951954853548249,0
0.17612856365591809,-0.9782120388141462,0.9001987160745095,1.0526257039979021,0.0014813290626981114,0.017920524509891136,-0.015004561748603856,0.061748324427833824,0.029972107068037563,0.07077971220276308,-0.07032634067837859,-0.001278505466842981,0.03457551298373102,0.20362193678562887,0.024420413587231356,0.07980810768270918,0.16625606890133632,0.12529249815068086,0.17710418636027028,-0.026339896137152468,0.02774253071448123,1
0.11719502553716915,0.30494658725932067,0.15150373776796666,0.363103969032162,0.06096750112626505,0.010320533766024612,-0.009373258574634107,0.0014298554202782537,-0.005193094619444278,0.040587930415198724,0.027726363196772935,0.06892083979973054,-0.04485531049014952,0.3165679520183536,-0.0013445916699908324,0.04438055746771726,0.044874633148130866,0.13914417135791124,0.09552302847864033,-0.07712974177003823,0.03620978861765753,2
0.18456198956818304,0.282302584892859,0.16995871821620934,0.3047504861135355,0.0983518544438771,0.09610563999471523,0.021516525038093124,0.058902374574614204,0.052421746078001125,0.09993423502238927,-0.06282768618824788,-0.06590844017138366,0.036649916201309286,0.1913815898461962,-0.01816048589666019,0.13278347088021691,0.05005612161574783,0.23117144318561766,-0.07415925046494788,-0.030021229206023823,-0.007067235175101373,3
0.09821296352821812,1.3240344171634508,-0.467765356697049,-0.32508906638364155,0.14378792552431177,-0.016506666004582445,0.07197150399992129,0.027256743463638947,0.06511984595873846,-0.06953257373600968,0.044035006113445185,0.06350569792524084,-0.06054760710344222,0.26567790468144326,-0.06016807917128884,0.13712007312211458,0.06606854741666109,0.12617445229395546,0.03437813870036041,-0.011555796887707165,0.02331230349278542,4
0.1131435691235917,-0.6000679193266789,0.6693588912187908,0.9157375841002767,0.011784769323461512,0.034911917258678656,0.07597474087323691,0.02294262804885392,0.06592895910787258,0.042815953727981124,-0.053509872775299165,0.020450764520558207,0.06343243587636588,0.11459686397653743,-0.0005668267226827182,-0.044051098738449146,0.06130040726429549,0.19662172874926412,0.2431269361053223,-0.00913423175231764,0.06756106301310474,5
0.1864131546269072,-1.2466061501282977,1.2385516374277539,1.2582918336349176,0.015274198254010496,0.009370050919054447,0.08905995621399918,0.0048361488223217985,0.061563384007318665,-0.0835451805810905,0.0683859404162969,0.045876188154589444,-0.012902651580331442,0.29018432663795574,-0.026388438455556627,0.08534559541991923,0.02100766600944402,0.12767516125018413,0.014150519887165805,0.029182356454255813,0.013236186461135465,6
0.11005771757429167,-0.8575157198478003,0.8138051432475167,1.0402100726850934,0.12203703948431402,0.04872509136714554,0.018261117884201233,0.054734880898924206,0.04797207317496856,0.008129837609302071,-0.0008020969282821592,0.03799218337301372,0.026050131847056752,0.1639383269663699,0.017069073247455862,0.03596082349314047,0.1265971398136408,0.10941638340921704,0.09966101891122424,0.011377000626461863,-0.0007319852487030144,7
0.16121082756358768,1.1040361363262319,-0.40054768455210416,-0.09802706901049385,0.12761300294319924,0.15129201384352267,0.039668818544008146,0.009434651334053334,0.03215821134667052,-0.04759921401586619,0.0345292087406221,0.05098499541820881,-0.008134925630735907,0.35827542499107035,0.01804821141620614,0.07294154265397654,0.07819493276887479,0.1598377851928205,-0.05703698448773781,-0.08295721153610205,0.004361674095760319,8
0.12157359424635357,1.080190233235845,-0.4814980086784265,-0.09551591324929411,0.06273721481697392,0.05245523588975848,0.0953620159148404,0.01803318790476869,0.07462424233067542,-0.004865394888093259,-0.01957756367849077,-0.06704311956708624,0.02480244277294908,0.23270918536680307,0.05855681270285381,0.08166837293970443,0.0867659059692023,0.1189855694496208,0.25425905867121884,-0.02220545230706574,0.026055884386003893,9
