id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,home_pregame_offense_ppa,home_pregame_offense_successRate,home_pregame_offense_explosiveness,home_pregame_defense_ppa,home_pregame_defense_successRate,home_pregame_defense_explosiveness,away_pregame_offense_ppa,away_pregame_offense_successRate,away_pregame_offense_explosiveness,away_pregame_defense_ppa,away_pregame_defense_successRate,away_pregame_defense_explosiveness
401282714,2021,1,regular,2021-08-28 17:20:00+00:00,False,True,False,True,41064.0,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,30.0,"[2, 14, 14, 0]",0.4056606386617034,1392.0,1411.0,158,Nebraska,fbs,Big Ten,22.0,"[0, 9, 7, 6]",0.5943393613382966,1503.0,1484.0,5.4859812562,,,,,,,,,,,,,,,
401286187,2021,1,regular,2021-08-28 18:00:00+00:00,False,True,False,False,26043.0,3660.0,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,45.0,"[7, 24, 7, 7]",0.9989676192140482,1465.0,1566.0,41,UConn,fbs,FBS Independents,0.0,"[0, 0, 0, 0]",0.0010323807859518,1223.0,1122.0,1.5355562765,,,,,,,,,,,,,,,
401309833,2021,1,regular,2021-08-28 19:30:00+00:00,False,True,False,False,32982.0,1056.0,Rose Bowl,26,UCLA,fbs,Pac-12,44.0,"[24, 7, 13, 0]",0.998923796291393,1517.0,1605.0,62,Hawai'i,fbs,Mountain West,10.0,"[3, 0, 7, 0]",0.0010762037086069,1466.0,1378.0,1.3911846797,,,,,,,,,,,,,,,
401282049,2021,1,regular,2021-08-29 01:30:00+00:00,False,True,False,False,19034.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,3.0,"[0, 3, 0, 0]",0.0003672266073629,1261.0,1182.0,2638,UTEP,fbs,Conference USA,30.0,"[17, 3, 10, 0]",0.9996327733926372,1222.0,1301.0,1.7024199439,,,,,,,,,,,,,,,
401310693,2021,1,regular,2021-08-29 02:00:00+00:00,False,True,False,False,16204.0,3935.0,CEFCU Stadium,23,San José State,fbs,Mountain West,45.0,"[21, 17, 7, 0]",0.9989556844495414,,,253,Southern Utah,fcs,Big Sky,14.0,"[0, 14, 0, 0]",0.0010443155504585,,,1.2255180894,,,,,,,,,,,,,,,
401282050,2021,1,regular,2021-09-01 23:30:00+00:00,False,True,True,False,9122.0,3689.0,Cramton Bowl,55,Jacksonville State,fcs,AWC,0.0,"[0, 0, 0, 0]",0.0003023172538635,,,5,UAB,fbs,Conference USA,31.0,"[0, 10, 14, 7]",0.9996976827461364,,,2.1316123178,,Montgomery Kickoff,,,,,,,,,,,,,
401309542,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,17521.0,3965.0,UB Stadium,2084,Buffalo,fbs,Mid-American,69.0,"[14, 24, 21, 10]",0.9983755574946216,,,2681,Wagner,fcs,NEC,7.0,"[0, 0, 0, 7]",0.0016244425053782,,,1.0306190592,,,,,,,,,,,,,,,
401328545,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,16236.0,3654.0,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,52.0,"[7, 24, 14, 7]",0.9989646936333476,,,2643,The Citadel,fcs,Southern,14.0,"[0, 0, 7, 7]",0.0010353063666523,,,1.189259394,,,,,,,,,,,,,,,
401300995,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,43928.0,3652.0,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,36.0,"[0, 14, 14, 8]",0.9342124591737913,1648.0,1651.0,68,Boise State,fbs,Mountain West,31.0,"[14, 10, 0, 7]",0.0657875408262088,1602.0,1599.0,10.2014008911,,,,,,,,,,,,,,,
401309540,2021,1,regular,2021-09-02 23:00:00+00:00,False,True,False,False,13149.0,3919.0,Scheumann Stadium,2050,Ball State,fbs,Mid-American,31.0,"[7, 0, 14, 10]",0.9215833962326456,,,2710,Western Illinois,fcs,MVFC,21.0,"[0, 7, 7, 7]",0.0784166037673544,,,2.0262390412,,,,,,,,,,,,,,,
