id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,home_pregame_offense_ppa,home_pregame_offense_successRate,home_pregame_offense_explosiveness,home_pregame_defense_ppa,home_pregame_defense_successRate,home_pregame_defense_explosiveness,away_pregame_offense_ppa,away_pregame_offense_successRate,away_pregame_offense_explosiveness,away_pregame_defense_ppa,away_pregame_defense_successRate,away_pregame_defense_explosiveness
401640998,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,False,False,18977.0,3662.0,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,27.0,"[3, 7, 0, 17]",0.0062104188128542,1538.0,1449.0,324,Coastal Carolina,fbs,Sun Belt,55.0,"[17, 14, 10, 14]",0.9937895811871458,1448.0,1537.0,2.3532792649,,,,,,,,,,,,,,,
401645318,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,False,False,16483.0,3674.0,Chapman Stadium,202,Tulsa,fbs,American Athletic,62.0,"[14, 27, 7, 14]",0.9988522601651244,1248.0,1248.0,2466,Northwestern State,fcs,Southland,28.0,"[14, 0, 0, 14]",0.0011477398348757,,,4.1619627667,,,,,,,,,,,,,,,
401628327,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,False,False,62621.0,3838.0,Memorial Stadium,142,Missouri,fbs,SEC,51.0,"[28, 7, 10, 6]",0.9989083251415593,1744.0,1744.0,93,Murray State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0010916748584407,,,2.1957671965,,,,,,,,,,,,,,,
401634206,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,False,False,49438.0,3726.0,Folsom Field,38,Colorado,fbs,Big 12,31.0,"[14, 3, 7, 7]",0.3704693385585345,1324.0,1324.0,2449,North Dakota State,fcs,MVFC,26.0,"[10, 10, 0, 6]",0.6295306614414655,,,6.0376176228,,,,,,,,,,,,,,,
401628448,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,False,False,50805.0,3953.0,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,17.0,"[0, 14, 0, 3]",0.8741646700190268,1492.0,1492.0,153,North Carolina,fbs,ACC,19.0,"[0, 7, 6, 6]",0.1258353299809732,1546.0,1546.0,8.3966898321,,,,,,,,,,,,,,,
401636606,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,True,False,20829.0,3486.0,Children's Mercy Park,2305,Kansas,fbs,Big 12,48.0,"[7, 27, 7, 7]",0.9989701373065328,1619.0,1619.0,2815,Lindenwood,fcs,Big South-OVC,3.0,"[0, 0, 0, 3]",0.0010298626934671,,,3.001620721,,,,,,,,,,,,,,,
401645317,2024,1,regular,2024-08-30 00:00:00+00:00,False,True,False,False,20143.0,4729.0,Yulman Stadium,2655,Tulane,fbs,American Athletic,52.0,"[7, 14, 14, 17]",0.9989668126898874,1565.0,1565.0,2545,SE Louisiana,fcs,Southland,0.0,"[0, 0, 0, 0]",0.0010331873101125,,,3.9545561472,,,,,,,,,,,,,,,
401636607,2024,1,regular,2024-08-30 01:00:00+00:00,False,True,False,False,52210.0,587.0,Rice-Eccles Stadium,254,Utah,fbs,Big 12,49.0,"[7, 28, 7, 7]",0.9989529148338464,1622.0,1622.0,253,Southern Utah,fcs,UAC,0.0,"[0, 0, 0, 0]",0.0010470851661537,,,2.4892539854,,,,,,,,,,,,,,,
401654845,2024,1,regular,2024-08-30 01:00:00+00:00,False,True,False,False,43849.0,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,45.0,"[14, 17, 7, 7]",0.998775795771694,1502.0,1502.0,2197,Eastern Illinois,fcs,Big South-OVC,0.0,"[0, 0, 0, 0]",0.001224204228306,,,2.616514081,,,,,,,,,,,,,,,
401643698,2024,1,regular,2024-08-30 02:00:00+00:00,False,True,False,False,13811.0,3935.0,CEFCU Stadium,23,San José State,fbs,Mountain West,42.0,"[7, 7, 7, 21]",0.9887113561234412,1544.0,1544.0,16,Sacramento State,fcs,Big Sky,24.0,"[14, 3, 7, 0]",0.0112886438765589,,,8.7463456016,,,,,,,,,,,,,,,
401645319,2024,1,regular,2024-08-30 22:00:00+00:00,False,True,False,False,23760.0,3841.0,Michie Stadium,349,Army,fbs,American Athletic,42.0,"[7, 14, 7, 14]",0.997930648930022,1425.0,1425.0,2329,Lehigh,fcs,Patriot,7.0,"[7, 0, 0, 0]",0.002069351069978,,,3.1009780986,,,,,,,,,,,,,,,
401628328,2024,1,regular,2024-08-30 23:00:00+00:00,False,True,False,False,83329.0,3835.0,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,51.0,"[17, 17, 3, 14]",0.9967305253633711,1786.0,1849.0,218,Temple,fbs,American Athletic,3.0,"[0, 0, 3, 0]",0.0032694746366287,1178.0,1115.0,2.6725263142,,,,,,,,,,,,,,,
401628453,2024,1,regular,2024-08-30 23:00:00+00:00,False,True,False,False,70271.0,3936.0,Spartan Stadium,127,Michigan State,fbs,Big Ten,16.0,"[2, 14, 0, 0]",0.8569259339139759,1392.0,1401.0,2226,Florida Atlantic,fbs,American Athletic,10.0,"[0, 3, 7, 0]",0.1430740660860241,1422.0,1413.0,6.7849495035,,,,,,,,,,,,,,,
401628584,2024,1,regular,2024-08-30 23:30:00+00:00,False,True,False,False,18466.0,3982.0,Wallace Wade Stadium,150,Duke,fbs,ACC,26.0,"[3, 7, 9, 7]",0.9964878761250934,1602.0,1602.0,2210,Elon,fcs,CAA,3.0,"[0, 0, 0, 3]",0.0035121238749066,,,4.3623822452,,,,,,,,,,,,,,,
401628461,2024,1,regular,2024-08-31 01:00:00+00:00,False,True,False,False,75158.0,347.0,Camp Randall Stadium,275,Wisconsin,fbs,Big Ten,28.0,"[0, 10, 3, 15]",0.5495450669632155,1587.0,1593.0,2711,Western Michigan,fbs,Mid-American,14.0,"[0, 7, 0, 7]",0.4504549330367845,1315.0,1309.0,7.098240234,,,,,,,,,,,,,,,
401634300,2024,1,regular,2024-08-31 02:30:00+00:00,False,True,False,False,36026.0,3940.0,Stanford Stadium,24,Stanford,fbs,ACC,27.0,"[7, 10, 0, 10]",0.1076928758441394,1286.0,1295.0,2628,TCU,fbs,Big 12,34.0,"[7, 3, 10, 14]",0.8923071241558606,1587.0,1578.0,9.2635770293,,,,,,,,,,,,,,,
401643703,2024,1,regular,2024-08-31 04:00:00+00:00,True,True,False,False,17037.0,3905.0,Maverik Stadium,328,Utah State,fbs,Mountain West,36.0,"[7, 3, 10, 16]",0.997171524113494,1346.0,1346.0,2523,Robert Morris,fcs,NEC,14.0,"[0, 14, 0, 0]",0.0028284758865061,,,6.7617772711,,,,,,,,,,,,,,,
401634169,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,59488.0,3907.0,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,49.0,"[7, 14, 14, 14]",0.9989614643903624,1492.0,1492.0,282,Indiana State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0010385356096375,,,3.120175037,,,,,,,,,,,,,,,
401628323,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,True,False,78827.0,5348.0,Mercedes-Benz Stadium,61,Georgia,fbs,SEC,34.0,"[0, 6, 14, 14]",0.996798246718009,2015.0,2066.0,228,Clemson,fbs,ACC,3.0,"[0, 0, 3, 0]",0.003201753281991,1676.0,1625.0,3.9981808014,,Aflac Kickoff,,,,,,,,,,,,,
401645322,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,28763.0,3852.0,Navy-Marine Corps Memorial Stadium,2426,Navy,fbs,American Athletic,49.0,"[6, 22, 7, 14]",0.9984703617023531,1368.0,1368.0,2083,Bucknell,fcs,Patriot,21.0,"[7, 0, 7, 7]",0.0015296382976467,,,3.4538485468,,,,,,,,,,,,,,,
401628451,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,35421.0,3665.0,SECU Stadium,120,Maryland,fbs,Big Ten,50.0,"[14, 9, 13, 14]",0.9988002754401628,1630.0,1703.0,41,UConn,fbs,FBS Independents,7.0,"[0, 0, 7, 0]",0.0011997245598373,1230.0,1157.0,3.0293093219,,,,,,,,,,,,,,,
401628457,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,62084.0,3842.0,Milan Puskar Stadium,277,West Virginia,fbs,Big 12,12.0,"[0, 6, 0, 6]",0.0009582824377984,1574.0,1546.0,213,Penn State,fbs,Big Ten,34.0,"[0, 20, 7, 7]",0.9990417175622016,1833.0,1861.0,3.2059023853,,,,,,,,,,,,,,,
401634305,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,44616.0,3752.0,Acrisure Stadium,221,Pittsburgh,fbs,ACC,55.0,"[14, 14, 14, 13]",0.9944918416705908,1436.0,1486.0,2309,Kent State,fbs,Mid-American,24.0,"[7, 7, 10, 0]",0.005508158329409,1158.0,1108.0,4.2275134344,,,,,,,,,,,,,,,
401628450,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,69250.0,3793.0,Kinnick Stadium,2294,Iowa,fbs,Big Ten,40.0,"[3, 3, 13, 21]",0.9981064825554676,1550.0,1550.0,2287,Illinois State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0018935174445324,,,4.289131329,,,,,,,,,,,,,,,
401628333,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,,3973.0,FirstBank Stadium,238,Vanderbilt,fbs,SEC,34.0,"[3, 14, 3, 7, 7]",0.9759708097958584,1284.0,1313.0,259,Virginia Tech,fbs,ACC,27.0,"[0, 3, 10, 14, 0]",0.0240291902041417,1604.0,1575.0,7.7799416184,,,,,,,,,,,,,,,
401632062,2024,1,regular,2024-08-31 16:00:00+00:00,False,True,False,False,47067.0,3873.0,L&N Federal Credit Union Stadium,97,Louisville,fbs,ACC,62.0,"[10, 28, 21, 3]",0.9989252517275378,1625.0,1625.0,2046,Austin Peay,fcs,UAC,0.0,"[0, 0, 0, 0]",0.0010747482724622,,,2.3632203342,,,,,,,,,,,,,,,
401628330,2024,1,regular,2024-08-31 16:45:00+00:00,False,True,False,False,101915.0,3853.0,Neyland Stadium,2633,Tennessee,fbs,SEC,69.0,"[24, 21, 10, 14]",0.9989676752583596,1751.0,1751.0,236,Chattanooga,fcs,Southern,3.0,"[0, 0, 3, 0]",0.0010323247416405,,,2.0752113158,,,,,,,,,,,,,,,
401634212,2024,1,regular,2024-08-31 18:00:00+00:00,False,True,False,False,52202.0,3646.0,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,44.0,"[10, 7, 21, 6]",0.9918623935187708,1522.0,1522.0,2571,South Dakota State,fcs,MVFC,20.0,"[0, 6, 7, 7]",0.008137606481229,,,3.8973240461,,,,,,,,,,,,,,,
401628591,2024,1,regular,2024-08-31 18:30:00+00:00,False,True,False,False,37654.0,3854.0,Nippert Stadium,2132,Cincinnati,fbs,Big 12,38.0,"[21, 7, 10, 0]",0.9988703038356656,1394.0,1394.0,119,Towson,fcs,CAA,20.0,"[3, 14, 3, 0]",0.0011296961643343,,,4.0563441295,,,,,,,,,,,,,,,
401637159,2024,1,regular,2024-08-31 19:00:00+00:00,False,True,False,False,20089.0,3820.0,Gesa Field,265,Washington State,fbs,Pac-12,70.0,"[22, 27, 14, 7]",0.998969170318451,1530.0,1530.0,2502,Portland State,fcs,Big Sky,30.0,"[7, 10, 6, 7]",0.0010308296815489,,,2.9697667045,,,,,,,,,,,,,,,
401644731,2024,1,regular,2024-08-31 19:30:00+00:00,False,True,False,False,10828.0,3764.0,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,54.0,"[6, 28, 13, 7]",0.9989709146104984,1446.0,1446.0,2710,Western Illinois,fcs,Big South-OVC,15.0,"[3, 0, 5, 7]",0.0010290853895017,,,3.7345812948,,,,,,,,,,,,,,,
401628331,2024,1,regular,2024-08-31 19:30:00+00:00,False,True,False,False,99171.0,3910.0,DKR-Texas Memorial Stadium,251,Texas,fbs,SEC,52.0,"[7, 24, 14, 7]",0.9985585872365949,1850.0,1939.0,36,Colorado State,fbs,Mountain West,0.0,"[0, 0, 0, 0]",0.0014414127634052,1350.0,1261.0,2.8170508876,,,,,,,,,,,,,,,
